c_RegimenFiscal,Descripción,Física,Moral,Fecha de inicio de vigencia,Fecha de fin de vigencia
601,General de Ley Personas Morales,No,Sí,1/1/2022,
603,Personas Morales con Fines no Lucrativos,No,Sí,1/1/2022,
605,Sueldos y Salarios e Ingresos Asimilados a Salarios,Sí,No,1/1/2022,
606,Arrendamiento,Sí,No,1/1/2022,
607,Regimen de Enajenación o Adquisición de Bienes,Sí,No,1/1/2022,
608,Demás ingresos,Sí,No,1/1/2022,
610,Residentes en el Extranjero sin Establecimiento Permanente en México,Sí,Sí,1/1/2022,
611,Ingresos por Dividendos (socios y accionistas),Sí,No,1/1/2022,
612,Personas Físicas con Actividades Empresariales y Profesionales,Sí,No,1/1/2022,
614,Ingresos por intereses,Sí,No,1/1/2022,
615,Regimen de los ingresos por obtención de premios,Sí,No,1/1/2022,
616,Sin obligaciones fiscales,Sí,No,1/1/2022,
620,Sociedades Cooperativas de Producción que optan por diferir sus ingresos,No,Sí,1/1/2022,
621,Incorporación Fiscal,Sí,No,1/1/2022,
622,"Actividades Agrícolas, Ganaderas, Silvícolas y Pesqueras",No,Sí,1/1/2022,
623,Opcional para Grupos de Sociedades,No,Sí,1/1/2022,
624,Coordinados,No,Sí,1/1/2022,
625,Regimen de las Actividades Empresariales con ingresos a través de Plataformas Tecnológicas,Sí,No,1/1/2022,
626,Regimen Simplificado de Confianza,Sí,Sí,1/1/2022,
